# #JD, mag, error
2.668244084195903270e+02,9.998903797184662823e-01,1.738334816736797025e-04
2.668448410255150520e+02,1.000000000000000000e+00,1.738611896384955886e-04
2.668652737314478145e+02,9.999272342985259243e-01,1.738255408242192674e-04
2.668857065371485078e+02,1.000215858794965884e+00,1.738462369166666934e-04
2.669061391426075716e+02,1.000171971883628386e+00,1.738379755717936329e-04
2.669265718478418421e+02,1.000238546934109296e+00,1.738333579021320854e-04
2.669470046528440434e+02,1.000174877517755689e+00,1.738482662792918763e-04
2.669674373578382074e+02,1.000063572290132763e+00,1.738277338264780322e-04
2.669878699628388858e+02,1.000166993136216487e+00,1.738205339866896770e-04
2.670083027673754259e+02,9.998697644170508880e-01,1.738378181168490153e-04
